* Measurement data measured by REW V5.20.14
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 20/06/2023 5:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 15 Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 15-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 21.240234 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
7915.112305 0.010 136.1567
7972.468262 0.010 136.4796
8030.240234 0.010 136.8081
8088.430664 0.010 137.1420
8147.042969 0.010 137.4812
8206.080078 0.010 137.8257
8265.544922 0.010 138.1752
8325.440430 0.010 138.5298
8385.769531 0.010 138.8895
8446.536133 0.010 139.2543
8507.743164 0.010 139.6243
8569.393555 0.010 139.9996
8631.491211 0.010 140.3802
8694.038086 0.010 140.7662
8757.039062 0.010 141.1576
8820.496094 0.010 141.5545
8884.413086 0.010 141.9569
8948.792969 0.010 142.3647
9013.639648 0.010 142.7779
9078.956055 0.010 143.1965
9144.746094 0.010 143.6204
9211.012695 0.010 144.0496
9277.759766 0.010 144.4838
9344.990234 0.010 144.9230
9412.708008 0.010 145.3671
9480.916016 0.010 145.8159
9549.618164 0.010 146.2694
9618.818359 0.010 146.7274
9688.520508 0.010 147.1898
9758.727539 0.010 147.6565
9829.443359 0.010 148.1275
9900.671875 0.010 148.6026
9972.416016 0.010 149.0820
10044.680664 0.010 149.5655
10117.468750 0.010 150.0531
10190.784180 0.010 150.5451
10264.630859 0.010 151.0413
10339.012695 0.010 151.5419
10413.933594 0.010 152.0469
10489.397461 0.010 152.5563
10565.408203 0.010 153.0703
10641.969727 0.010 153.5886
10719.085938 0.010 154.1112
10796.760742 0.010 154.6380
10874.998047 0.010 155.1689
10953.802734 0.010 155.7035
11033.178711 0.010 156.2417
11113.129883 0.010 156.7831
11193.660156 0.010 157.3277
11274.774414 0.010 157.8750
